585345119441805313	Tue Apr 07 07:35:26 +0000 2015	well that clinches it, then. david cameron for welsh farmer (on minimum wage) #ge2015 #battlefornumber10 	Steve Bookbinder	SteveBooky
585689955403456512	Wed Apr 08 06:25:41 +0000 2015	@ed_miliband: #labour will scrap non-dom tax status  #milibandmustwin #battlefornumber10 #ge15	Nicole Reece	Gloss80
586426259812417538	Fri Apr 10 07:11:30 +0000 2015	"'desperate measures' 
#battlefornumber10
#ge2015 
@bbcpolitics @politicshome @buzzfeeduk @twitteruk"	Speakeasy	dominionIN
585818232575123456	Wed Apr 08 14:55:25 +0000 2015	#russia flies plane in the sky. #blamerussia,#ge2015,#uknews,#leadersdebate,#election2015,#battlefornumber10,#london	Citizen Shane	WorkersRevParty
584412536277172224	Sat Apr 04 17:49:41 +0000 2015	#jeremyclarkson #tories #conservatives #battlefornumber10 #ge2015 	NORBET	NORBET
585933949907640321	Wed Apr 08 22:35:14 +0000 2015	tory: when you look into their eyes you can see the crave for greed &amp; power.  #battlefornumber10,#london,#uknews	Citizen Shane	WorkersRevParty
585443992004927488	Tue Apr 07 14:08:19 +0000 2015	#ukip #nigelfarage #battlefornumber10 #ge2015 	NORBET	NORBET
583994847863951360	Fri Apr 03 14:09:56 +0000 2015	@factcheck: cameron's broken promise on the nhs  #battlefornumber10 	The Politics	LePolitics
585302420105928704	Tue Apr 07 04:45:46 +0000 2015	"#thegreens #ge2015 #battlefornumber10 #greenparty #thegreenteam 
#leaderslive #leadersdebate #greensurge "	Esther McVile	Ester_Mcvile
584084677574664193	Fri Apr 03 20:06:53 +0000 2015	it seems like ukip only have one policy, every question goes back to immigration! #leadersdebate #battlefornumber10	Rachel Thomas	RachBeth89
584845949576556545	Sun Apr 05 22:31:54 +0000 2015	#ge2015 #battlefornumber10 #longtermeconomicplan #dwp #sharethefacts #kickcameronout #forthefew #team2015 #toriesout 	Esther McVile	Ester_Mcvile
585912069179973632	Wed Apr 08 21:08:17 +0000 2015	@nigel_farage non doms are merely rich immigrants taking money from the uk #ge2015 #battlefornumber10	UKsoothsayer	MacUser90s
585532834741379074	Tue Apr 07 20:01:21 +0000 2015	i just registered online to vote. if you haven't already, you should too! #yourvotematters #battlefornumber10 	Lorena Fuentes	Lorenushka
